stamp,x,y,z,qw,qx,qy,qz
1642400922.661644116,0.181327,-0.024570,-0.089842,0.464471,-0.450518,0.496472,-0.578633
1642400923.305722619,0.180517,-0.026064,-0.098203,0.464642,-0.450402,0.496652,-0.578431
1642400923.893139027,0.169794,-0.027141,-0.148233,0.428198,-0.487568,0.489729,-0.582314
1642400924.414480202,0.185060,0.061601,-0.102033,0.487357,-0.449978,0.530511,-0.527789
1642400924.839128741,0.324234,0.026798,-0.137291,0.498183,-0.452516,0.548338,-0.496355
1642400925.272388325,0.519207,-0.008711,-0.223059,0.552944,-0.519782,0.440362,-0.479751
1642400925.622788417,0.565661,-0.021287,-0.244289,0.572143,-0.587663,0.375358,-0.431754
1642400926.043262907,0.580549,-0.002310,-0.197994,0.592693,-0.612194,0.346617,-0.392162
1642400926.441562493,0.578633,0.030161,-0.203059,0.612342,-0.628509,0.319830,-0.357383
1642400926.775004210,0.684784,0.104058,-0.152332,0.641210,-0.650549,0.270210,-0.304341
1642400927.242009374,0.732569,0.117492,-0.189785,0.654527,-0.706580,0.170350,-0.208136
1642400927.608193774,0.734823,0.114395,-0.176154,0.660987,-0.720886,0.118764,-0.171216
1642400927.922926176,0.718432,0.186697,-0.104201,0.669353,-0.721595,0.091524,-0.151295
1642400928.145255385,0.656649,0.250290,-0.158263,0.663661,-0.736455,0.084484,-0.100252
1642400928.582873277,0.641392,0.279012,-0.167560,0.631586,-0.770610,0.040805,-0.074794
1642400928.982083118,0.643075,0.274582,-0.149676,0.615497,-0.785867,0.018810,-0.056763
1642400929.494583452,0.630189,0.310167,-0.141363,0.605079,-0.795012,0.006388,-0.042358
1642400929.862318052,0.630696,0.304654,-0.149046,0.588198,-0.807938,-0.004849,-0.035138
1642400930.280004915,0.626760,0.318616,-0.140949,0.609346,-0.792517,-0.003459,-0.024521
1642400930.840846255,0.648289,0.303445,-0.150106,0.677688,-0.735330,-0.002166,-0.004937
1642400931.877774467,0.649940,0.309494,-0.146002,0.675999,-0.736767,-0.013552,0.004006
1642400932.379537163,0.651979,0.296243,-0.136534,0.675703,-0.736940,-0.016926,0.007588
1642400932.874737644,0.651241,0.295624,-0.143495,0.675602,-0.737013,-0.017520,0.008208
1642400933.306492309,0.720878,0.342936,-0.159158,0.675521,-0.737029,-0.019133,0.009688
1642400934.002221469,0.721052,0.347437,-0.146827,0.674817,-0.737598,-0.020698,0.011936
1642400934.587139567,0.717052,0.347570,-0.142270,0.674791,-0.737488,-0.023595,0.014548
1642400935.084581299,0.718152,0.346205,-0.132794,0.674813,-0.737407,-0.024665,0.015799
1642400935.606702550,0.716810,0.349145,-0.136465,0.674813,-0.737343,-0.025641,0.017204
1642400936.069580994,0.717665,0.348217,-0.146385,0.674806,-0.737312,-0.026160,0.017999
1642400936.540432906,0.722908,0.352426,-0.142946,0.674862,-0.737252,-0.026458,0.017901
1642400937.113558852,0.709705,0.357753,-0.154161,0.674842,-0.737089,-0.029525,0.020409
1642400937.976321963,0.703048,0.351240,-0.119588,0.674668,-0.736992,-0.032783,0.024324
1642400938.582442757,0.721554,0.339742,-0.068450,0.674710,-0.736884,-0.033531,0.025374
1642400938.991292491,0.721279,0.339756,-0.064157,0.674526,-0.737021,-0.033974,0.025698
1642400939.515578032,0.720470,0.337026,-0.065761,0.674031,-0.737456,-0.034206,0.025901
1642400940.042234585,0.719282,0.333888,-0.054886,0.673990,-0.737442,-0.034877,0.026473
1642400940.499275723,0.705690,0.355351,-0.169318,0.673969,-0.737426,-0.035289,0.026892
1642400940.992776338,0.713827,0.347342,-0.124791,0.673956,-0.737421,-0.035450,0.027157
1642400941.458734222,0.715159,0.358503,-0.150638,0.673963,-0.737383,-0.035849,0.027479
1642400941.973403357,0.714148,0.354670,-0.152536,0.673977,-0.737344,-0.036252,0.027664
1642400942.654815783,0.713679,0.356399,-0.153769,0.673985,-0.737284,-0.036810,0.028298
1642400943.175029901,0.714005,0.353180,-0.149776,0.674026,-0.737249,-0.036807,0.028248
1642400943.569258608,0.716133,0.349651,-0.147237,0.674026,-0.737210,-0.037220,0.028741
1642400944.181123363,0.716378,0.346955,-0.146882,0.674028,-0.737197,-0.037273,0.028950
1642400944.681633303,0.716390,0.354820,-0.160430,0.673997,-0.737168,-0.037852,0.029639
1642400945.465230450,0.715853,0.350017,-0.145144,0.674049,-0.737124,-0.037787,0.029643
1642400945.995210447,0.717382,0.345179,-0.138116,0.674099,-0.737070,-0.037883,0.029723
1642400946.453370066,0.715656,0.347519,-0.141739,0.674099,-0.737022,-0.038382,0.030262
1642400946.889489567,0.713794,0.348991,-0.138379,0.674119,-0.737006,-0.038330,0.030266
1642400947.397686858,0.712344,0.350978,-0.143115,0.674134,-0.736977,-0.038494,0.030446
1642400948.021826108,0.711695,0.348415,-0.137149,0.674175,-0.736946,-0.038432,0.030361
1642400948.527033944,0.709848,0.348987,-0.137674,0.674214,-0.736919,-0.038327,0.030261
1642400949.043884618,0.711869,0.353381,-0.145269,0.674231,-0.736885,-0.038540,0.030454
1642400949.508679347,0.709979,0.353338,-0.143966,0.674218,-0.736830,-0.039288,0.031123
1642400949.940773474,0.709934,0.353733,-0.146963,0.674243,-0.736821,-0.039183,0.030927
